Sequence,Taxon_rank,Order,Family,Family_English_name,Scientific_name,English_name_AviList,English (United States),IUCN_Red_List_Category
14929,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Poliocrania exsul,Chestnut-backed Antbird,Chestnut-backed Antbird,NE
14930,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Poliocrania exsul exsul,,,
14931,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Poliocrania exsul occidentalis,,,
14932,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Poliocrania exsul cassini,,,
14933,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Poliocrania exsul niglarus,,,
14934,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Poliocrania exsul maculifer,,,
14935,genus,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Ampelornis,,,
14936,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Ampelornis griseiceps,Grey-headed Antbird,Gray-headed Antbird,NT
14937,genus,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Sipia,,,
14938,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Sipia laemosticta,Dull-mantled Antbird,Dull-mantled Antbird,LC
14939,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Sipia palliata,Magdalena Antbird,Magdalena Antbird,NT
14940,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Sipia nigricauda,Esmeraldas Antbird,Esmeraldas Antbird,LC
14941,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Sipia berlepschi,Stub-tailed Antbird,Stub-tailed Antbird,LC
14942,genus,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmoderus,,,
14943,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmoderus ferrugineus,Ferruginous-backed Antbird,Ferruginous-backed Antbird,LC
14944,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmoderus ferrugineus ferrugineus,,,
14945,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmoderus ferrugineus elutus,,,
14946,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmoderus eowilsoni,Cordillera Azul Antbird,Cordillera Azul Antbird,NT
14947,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmoderus ruficauda,Scalloped Antbird,Scalloped Antbird,EN
14948,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmoderus ruficauda soror,,,
14949,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmoderus ruficauda ruficauda,,,
14950,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmoderus loricatus,White-bibbed Antbird,White-bibbed Antbird,LC
14951,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmoderus squamosus,Squamate Antbird,Squamate Antbird,LC
14952,genus,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Hypocnemoides,,,
14953,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Hypocnemoides maculicauda,Band-tailed Antbird,Band-tailed Antbird,LC
14954,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Hypocnemoides melanopogon,Black-chinned Antbird,Black-chinned Antbird,LC
14955,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Hypocnemoides melanopogon occidentalis,,,
14956,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Hypocnemoides melanopogon melanopogon,,,
14957,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Hypocnemoides melanopogon minor,,,
14958,genus,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Hylophylax,,,
14959,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Hylophylax naevioides,Spotted Antbird,Spotted Antbird,LC
14960,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Hylophylax naevioides capnitis,,,
14961,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Hylophylax naevioides naevioides,,,
14962,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Hylophylax naevius,Spot-backed Antbird,Spot-backed Antbird,LC
14963,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Hylophylax naevius theresae,,,
14964,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Hylophylax naevius peruvianus,,,
14965,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Hylophylax naevius inexpectatus,,,
14966,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Hylophylax naevius naevius,,,
14967,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Hylophylax naevius ochraceus,,,
14968,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Hylophylax punctulatus,Dot-backed Antbird,Dot-backed Antbird,LC
14969,genus,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Sclateria,,,
14970,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Sclateria naevia,Silvered Antbird,Silvered Antbird,LC
14971,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Sclateria naevia naevia,,,
14972,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Sclateria naevia diaphora,,,
14973,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Sclateria naevia argentata,,,
14974,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Sclateria naevia toddi,,,
14975,genus,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmelastes,,,
14976,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmelastes schistaceus,Slate-colored Antbird,Slate-colored Antbird,LC
14977,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmelastes saturatus,Roraiman Antbird,Roraiman Antbird,LC
14978,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmelastes saturatus obscurus,,,
14979,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmelastes saturatus saturatus,,,
14980,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmelastes hyperythrus,Plumbeous Antbird,Plumbeous Antbird,LC
14981,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmelastes leucostigma,Spot-winged Antbird,Spot-winged Antbird,LC
14982,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmelastes leucostigma subplumbeus,,,
14983,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmelastes leucostigma leucostigma,,,
14984,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmelastes leucostigma intensus,,,
14985,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmelastes leucostigma infuscatus,,,
14986,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmelastes humaythae,Humaita Antbird,Humaita Antbird,LC
14987,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmelastes brunneiceps,Brownish-headed Antbird,Brownish-headed Antbird,LC
14988,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmelastes rufifacies,Rufous-faced Antbird,Rufous-faced Antbird,LC
14989,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmelastes caurensis,Caura Antbird,Caura Antbird,LC
14990,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmelastes caurensis caurensis,,,
14991,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmelastes caurensis australis,,,
14992,genus,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmeciza,,,
14993,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmeciza longipes,White-bellied Antbird,White-bellied Antbird,LC
14994,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmeciza longipes panamensis,,,
14995,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmeciza longipes longipes,,,
14996,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmeciza longipes boucardi,,,
14997,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmeciza longipes griseipectus,,,
14998,genus,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Rhopornis,,,
14999,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Rhopornis ardesiacus,Slender Antbird,Slender Antbird,NT
15000,genus,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmoborus,,,
15001,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmoborus leucophrys,White-browed Antbird,White-browed Antbird,LC
15002,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmoborus leucophrys erythrophrys,,,
15003,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmoborus leucophrys leucophrys,,,
15004,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmoborus leucophrys angustirostris,,,
15005,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmoborus leucophrys koenigorum,,,
15006,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmoborus lugubris,Ash-breasted Antbird,Ash-breasted Antbird,LC
15007,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmoborus lugubris berlepschi,,,
15008,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmoborus lugubris stictopterus,,,
15009,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmoborus lugubris femininus,,,
15010,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmoborus lugubris lugubris,,,
15011,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmoborus myotherinus,Black-faced Antbird,Black-faced Antbird,LC
15012,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmoborus myotherinus elegans,,,
15013,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmoborus myotherinus myotherinus,,,
15014,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmoborus myotherinus incanus,,,
15015,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmoborus myotherinus ardesiacus,,,
15016,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmoborus myotherinus proximus,,,
15017,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmoborus myotherinus ochrolaemus,,,
15018,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmoborus myotherinus sororius,,,
15019,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmoborus melanurus,Black-tailed Antbird,Black-tailed Antbird,NT
15020,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Myrmoborus lophotes,White-lined Antbird,White-lined Antbird,LC
15021,genus,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Pyriglena,,,
15022,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Pyriglena maura,Western Fire-eye,Western Fire-eye,NE
15023,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Pyriglena maura pacifica,,,
15024,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Pyriglena maura castanoptera,,,
15025,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Pyriglena maura picea,,,
15026,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Pyriglena maura marcapatensis,,,
15027,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Pyriglena maura hellmayri,,,
15028,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Pyriglena maura maura,,,
15029,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Pyriglena similis,Tapajos Fire-eye,Tapajos Fire-eye,NE
15030,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Pyriglena leuconota,East Amazonian Fire-eye,East Amazonian Fire-eye,NE
15031,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Pyriglena leuconota interposita,,,
15032,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Pyriglena leuconota leuconota,,,
15033,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Pyriglena leuconota pernambucensis,,,
15034,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Pyriglena atra,Fringe-backed Fire-eye,Fringe-backed Fire-eye,NT
15035,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Pyriglena leucoptera,White-shouldered Fire-eye,White-shouldered Fire-eye,LC
15036,genus,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Gymnocichla,,,
15037,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Gymnocichla nudiceps,Bare-crowned Antbird,Bare-crowned Antbird,LC
15038,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Gymnocichla nudiceps chiroleuca,,,
15039,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Gymnocichla nudiceps erratilis,,,
15040,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Gymnocichla nudiceps nudiceps,,,
15041,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Gymnocichla nudiceps sanctamartae,,,
15042,genus,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Akletos,,,
15043,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Akletos melanoceps,White-shouldered Antbird,White-shouldered Antbird,LC
15044,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Akletos goeldii,Goeldi's Antbird,Goeldi's Antbird,LC
15045,genus,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Percnostola,,,
15046,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Percnostola arenarum,Allpahuayo Antbird,Allpahuayo Antbird,VU
15047,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Percnostola rufifrons,Black-headed Antbird,Black-headed Antbird,LC
15048,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Percnostola rufifrons rufifrons,,,
15049,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Percnostola rufifrons subcristata,,,
15050,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Percnostola rufifrons minor,,,
15051,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Percnostola rufifrons jensoni,,,
15052,genus,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Hafferia,,,
15053,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Hafferia fortis,Sooty Antbird,Sooty Antbird,LC
15054,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Hafferia fortis fortis,,,
15055,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Hafferia fortis incanescens,,,
15056,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Hafferia zeledoni,Zeledon's Antbird,Zeledon's Antbird,LC
15057,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Hafferia zeledoni zeledoni,,,
15058,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Hafferia zeledoni berlepschi,,,
15059,species,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Hafferia immaculata,Blue-lored Antbird,Blue-lored Antbird,LC
15060,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Hafferia immaculata immaculata,,,
15061,subspecies,Passeriformes,Thamnophilidae,"Antbirds, Antshrikes, Antwrens, and Antvireos",Hafferia immaculata concepcion,,,
15062,family,Passeriformes,Grallariidae,Antpittas,Grallariidae,,,
15063,genus,Passeriformes,Grallariidae,Antpittas,Cryptopezus,,,
15064,species,Passeriformes,Grallariidae,Antpittas,Cryptopezus nattereri,Speckle-breasted Antpitta,Speckle-breasted Antpitta,LC
15065,genus,Passeriformes,Grallariidae,Antpittas,Grallaricula,,,
15066,species,Passeriformes,Grallariidae,Antpittas,Grallaricula flavirostris,Ochre-breasted Antpitta,Ochre-breasted Antpitta,LC
15067,subspecies,Passeriformes,Grallariidae,Antpittas,Grallaricula flavirostris costaricensis,,,
15068,subspecies,Passeriformes,Grallariidae,Antpittas,Grallaricula flavirostris brevis,,,
15069,subspecies,Passeriformes,Grallariidae,Antpittas,Grallaricula flavirostris ochraceiventris,,,
15070,subspecies,Passeriformes,Grallariidae,Antpittas,Grallaricula flavirostris mindoensis,,,
15071,subspecies,Passeriformes,Grallariidae,Antpittas,Grallaricula flavirostris zarumae,,,
15072,subspecies,Passeriformes,Grallariidae,Antpittas,Grallaricula flavirostris flavirostris,,,
15073,subspecies,Passeriformes,Grallariidae,Antpittas,Grallaricula flavirostris similis,,,
15074,subspecies,Passeriformes,Grallariidae,Antpittas,Grallaricula flavirostris boliviana,,,
15075,species,Passeriformes,Grallariidae,Antpittas,Grallaricula loricata,Scallop-breasted Antpitta,Scallop-breasted Antpitta,NT
15076,species,Passeriformes,Grallariidae,Antpittas,Grallaricula cucullata,Hooded Antpitta,Hooded Antpitta,NT
15077,subspecies,Passeriformes,Grallariidae,Antpittas,Grallaricula cucullata cucullata,,,
15078,subspecies,Passeriformes,Grallariidae,Antpittas,Grallaricula cucullata venezuelana,,,
15079,species,Passeriformes,Grallariidae,Antpittas,Grallaricula peruviana,Peruvian Antpitta,Peruvian Antpitta,NT
15080,species,Passeriformes,Grallariidae,Antpittas,Grallaricula ochraceifrons,Ochre-fronted Antpitta,Ochre-fronted Antpitta,VU
15081,species,Passeriformes,Grallariidae,Antpittas,Grallaricula ferrugineipectus,Rusty-breasted Antpitta,Rusty-breasted Antpitta,LC
15082,subspecies,Passeriformes,Grallariidae,Antpittas,Grallaricula ferrugineipectus rara,,,
15083,subspecies,Passeriformes,Grallariidae,Antpittas,Grallaricula ferrugineipectus ferrugineipectus,,,
15084,species,Passeriformes,Grallariidae,Antpittas,Grallaricula leymebambae,Rufous-breasted Antpitta,Leymebamba Antpitta,LC
15085,species,Passeriformes,Grallariidae,Antpittas,Grallaricula nana,Slaty-crowned Antpitta,Slate-crowned Antpitta,LC
15086,subspecies,Passeriformes,Grallariidae,Antpittas,Grallaricula nana occidentalis,,,
15087,subspecies,Passeriformes,Grallariidae,Antpittas,Grallaricula nana nana,,,
15088,subspecies,Passeriformes,Grallariidae,Antpittas,Grallaricula nana hallsi,,,
15089,subspecies,Passeriformes,Grallariidae,Antpittas,Grallaricula nana nanitaea,,,
15090,subspecies,Passeriformes,Grallariidae,Antpittas,Grallaricula nana olivascens,,,
15091,subspecies,Passeriformes,Grallariidae,Antpittas,Grallaricula nana kukenamensis,,,
15092,species,Passeriformes,Grallariidae,Antpittas,Grallaricula cumanensis,Sucre Antpitta,Sucre Antpitta,VU
15093,subspecies,Passeriformes,Grallariidae,Antpittas,Grallaricula cumanensis cumanensis,,,
15094,subspecies,Passeriformes,Grallariidae,Antpittas,Grallaricula cumanensis pariae,,,
15095,species,Passeriformes,Grallariidae,Antpittas,Grallaricula lineifrons,Crescent-faced Antpitta,Crescent-faced Antpitta,LC
15096,genus,Passeriformes,Grallariidae,Antpittas,Hylopezus,,,
15097,species,Passeriformes,Grallariidae,Antpittas,Hylopezus perspicillatus,Streak-chested Antpitta,Streak-chested Antpitta,LC
15098,subspecies,Passeriformes,Grallariidae,Antpittas,Hylopezus perspicillatus intermedius,,,
15099,subspecies,Passeriformes,Grallariidae,Antpittas,Hylopezus perspicillatus lizanoi,,,
15100,subspecies,Passeriformes,Grallariidae,Antpittas,Hylopezus perspicillatus perspicillatus,,,
15101,subspecies,Passeriformes,Grallariidae,Antpittas,Hylopezus perspicillatus periophthalmicus,,,
15102,subspecies,Passeriformes,Grallariidae,Antpittas,Hylopezus perspicillatus pallidior,,,
15103,species,Passeriformes,Grallariidae,Antpittas,Hylopezus macularius,Spotted Antpitta,Spotted Antpitta,NE
15104,subspecies,Passeriformes,Grallariidae,Antpittas,Hylopezus macularius dilutus,,,
15105,subspecies,Passeriformes,Grallariidae,Antpittas,Hylopezus macularius macularius,,,
15106,species,Passeriformes,Grallariidae,Antpittas,Hylopezus paraensis,Snethlage's Antpitta,Snethlage's Antpitta,NE
15107,species,Passeriformes,Grallariidae,Antpittas,Hylopezus whittakeri,Alta Floresta Antpitta,Alta Floresta Antpitta,NE
15108,species,Passeriformes,Grallariidae,Antpittas,Hylopezus auricularis,Masked Antpitta,Masked Antpitta,VU
15109,species,Passeriformes,Grallariidae,Antpittas,Hylopezus ochroleucus,White-browed Antpitta,White-browed Antpitta,LC
15110,genus,Passeriformes,Grallariidae,Antpittas,Myrmothera,,,
15111,species,Passeriformes,Grallariidae,Antpittas,Myrmothera fulviventris,White-lored Antpitta,White-lored Antpitta,LC
15112,subspecies,Passeriformes,Grallariidae,Antpittas,Myrmothera fulviventris caquetae,,,
15113,subspecies,Passeriformes,Grallariidae,Antpittas,Myrmothera fulviventris fulviventris,,,
15114,species,Passeriformes,Grallariidae,Antpittas,Myrmothera berlepschi,Amazonian Antpitta,Amazonian Antpitta,LC
15115,subspecies,Passeriformes,Grallariidae,Antpittas,Myrmothera berlepschi yessupi,,,
15116,subspecies,Passeriformes,Grallariidae,Antpittas,Myrmothera berlepschi berlepschi,,,
15117,species,Passeriformes,Grallariidae,Antpittas,Myrmothera dives,Thicket Antpitta,Thicket Antpitta,LC
15118,subspecies,Passeriformes,Grallariidae,Antpittas,Myrmothera dives dives,,,
15119,subspecies,Passeriformes,Grallariidae,Antpittas,Myrmothera dives flammulata,,,
15120,subspecies,Passeriformes,Grallariidae,Antpittas,Myrmothera dives barbacoae,,,
15121,species,Passeriformes,Grallariidae,Antpittas,Myrmothera campanisona,Thrush-like Antpitta,Thrush-like Antpitta,LC
15122,subspecies,Passeriformes,Grallariidae,Antpittas,Myrmothera campanisona modesta,,,
15123,subspecies,Passeriformes,Grallariidae,Antpittas,Myrmothera campanisona dissors,,,
15124,subspecies,Passeriformes,Grallariidae,Antpittas,Myrmothera campanisona campanisona,,,
15125,subspecies,Passeriformes,Grallariidae,Antpittas,Myrmothera campanisona signata,,,
15126,subspecies,Passeriformes,Grallariidae,Antpittas,Myrmothera campanisona minor,,,
15127,species,Passeriformes,Grallariidae,Antpittas,Myrmothera subcanescens,Tapajos Antpitta,Tapajos Antpitta,LC
15128,species,Passeriformes,Grallariidae,Antpittas,Myrmothera simplex,Tepui Antpitta,Tepui Antpitta,LC
15129,subspecies,Passeriformes,Grallariidae,Antpittas,Myrmothera simplex pacaraimae,,,
15130,subspecies,Passeriformes,Grallariidae,Antpittas,Myrmothera simplex simplex,,,
15131,subspecies,Passeriformes,Grallariidae,Antpittas,Myrmothera simplex guaiquinimae,,,
15132,subspecies,Passeriformes,Grallariidae,Antpittas,Myrmothera simplex duidae,,,
15133,genus,Passeriformes,Grallariidae,Antpittas,Grallaria,,,
15134,species,Passeriformes,Grallariidae,Antpittas,Grallaria squamigera,Undulated Antpitta,Undulated Antpitta,LC
15135,subspecies,Passeriformes,Grallariidae,Antpittas,Grallaria squamigera squamigera,,,
15136,subspecies,Passeriformes,Grallariidae,Antpittas,Grallaria squamigera canicauda,,,
15137,species,Passeriformes,Grallariidae,Antpittas,Grallaria gigantea,Giant Antpitta,Giant Antpitta,VU
15138,subspecies,Passeriformes,Grallariidae,Antpittas,Grallaria gigantea lehmanni,,,
15139,subspecies,Passeriformes,Grallariidae,Antpittas,Grallaria gigantea hylodroma,,,
15140,subspecies,Passeriformes,Grallariidae,Antpittas,Grallaria gigantea gigantea,,,
15141,species,Passeriformes,Grallariidae,Antpittas,Grallaria excelsa,Great Antpitta,Great Antpitta,NT
15142,subspecies,Passeriformes,Grallariidae,Antpittas,Grallaria excelsa excelsa,,,
15143,subspecies,Passeriformes,Grallariidae,Antpittas,Grallaria excelsa phelpsi,,,
